settore_attivita,n_dipendenti,metri_quadri,numero_sedi,percentuale_tempo_determinato,certificazione_iso_45001,settore_regolamentato,presenza_macchinari_pesanti,lavoro_in_quota,presenza_sostanze_chimiche,rumorosita_db,presenza_videoterminali,temperatura_ambiente,presenza_sistemi_elettrici,numero_macchinari,quantita_sostanze_chimiche,rischio_meccanico,rischio_caduta,rischio_chimico,rischio_rumore,rischio_elettrico,rischio_informatica
Educazione,297,4607,7,80.92167849906684,1,0,1,0,1,92.10700499157022,1,15.094354780508539,1,20,620.6384819581846,0.816808655934353,0.1896616250707333,0.6206384819581846,0.868450083192837,0.8,0.7
Media e intrattenimento,282,4176,2,55.266132835608104,1,0,0,1,1,49.75162609916836,1,27.141438834217126,0,39,917.0797463411548,0.730698746792303,0.7238187280949184,0.9170797463411547,0.16252710165280604,0.1,0.7
Finanza e assicurazioni,396,8551,9,30.814230446908287,0,0,1,0,0,77.62712189789917,1,20.808988933385585,0,93,523.9742271145312,0.7352191957833554,0.04643314379164927,0.0,0.6271186982983196,0.1,0.7
Agricoltura,965,458,9,17.0101434433931,1,0,1,1,0,66.68991752278377,1,27.9701819163045,0,50,368.434649769512,0.6430740132899808,0.7380049403213154,0.0,0.44483195871306286,0.1,0.7
Media e intrattenimento,802,5948,3,83.23621899392589,1,0,1,0,1,70.14518861720778,0,33.817732748276555,0,13,243.88265206992077,0.7771378926803854,0.08427372048664022,0.24388265206992077,0.5024198102867963,0.1,0.2
Agricoltura,71,5347,7,13.618938214671662,0,0,1,1,0,66.2420400863331,1,22.90651298966619,0,45,882.6032845681981,0.7217777281921053,0.8489379785821023,0.0,0.4373673347722184,0.1,0.7
Servizi,828,9214,8,76.37361356146906,1,0,0,0,0,41.539767832540456,0,18.79077584239867,1,27,924.7474634110595,0.874327767513753,0.08018887279529924,0.0,0.025662797209007594,0.8,0.2
Industria manifatturiera,648,192,6,2.100572052315286,0,1,1,0,0,64.8509817506841,1,28.120369396700646,1,63,188.89305989630023,0.6733435367188211,0.16853126690423262,0.0,0.4141830291780683,0.8,0.7
Sanità,206,5613,2,57.17042237335257,1,0,0,0,0,72.3992318246074,0,15.517914016020507,1,91,926.8063747216668,0.6068373676227431,0.08223290557027968,0.0,0.53998719707679,0.8,0.2
Media e intrattenimento,791,7331,2,70.9331972331103,0,0,0,0,0,86.18027624644385,0,27.147095598950962,1,6,1.2819801174877021,0.2997266107506196,0.059912489074140866,0.0,0.7696712707740642,0.8,0.2
Media e intrattenimento,587,5103,9,78.71320878968426,1,0,0,0,1,89.77158810539798,0,34.44973016472122,0,68,130.63197822342133,0.9400860613698714,0.006968665252461848,0.13063197822342132,0.8295264684232997,0.1,0.2
Tecnologia,796,3215,9,86.83929240384023,1,0,1,1,0,62.999640801446475,1,15.57440802208999,0,64,728.7843642135449,0.9777230296740517,0.7511594776940329,0.0,0.38332734669077456,0.1,0.7
Commercio,909,3172,9,78.82065835088575,0,0,0,1,0,74.96981876476625,0,25.129673135240658,1,18,346.26235399080673,0.2678808182941221,0.8897869289599838,0.0,0.5828303127461041,0.8,0.2
